"row","profession","heading","sub-heading","level","grade","content"
126,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Makes objective and timely decisions based on best available evidence and sound analysis"
127,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Uses evidence-based arguments, even when under pressure"
128,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Gets to the heart of an issue; subjects information to a thorough analysis to ensure high quality decisions and recommendations"
129,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Provides impartial and balanced advice, using sound application of knowledge and expertise; for example, communicates understanding of policy realities, but still represents social research evidence"
130,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Shapes customers' expectations and needs by educating them about what social research can achieve"
131,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Is an enthusiastic advocate of social research; can sell an idea or argument"
132,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Raises the level of debate by encouraging greater co-operation and communication between researchers across the department and further afield; provides links between academic and GSR colleagues"
133,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Encourages, coaches and supports others to adopt the latest social research methods and data science techniques into their work"
134,"Government Social Research","Using and Promoting Social Research","Understanding government context","Principal Research Officer","Grade 7","Works in partnership with other analysts and departments to achieve joint customer goals"
135,"Government Social Research","Using and Promoting Social Research","Understanding government context","Principal Research Officer","Grade 7","Co-operates and works well with others in the pursuit of social research goals"
136,"Government Social Research","Using and Promoting Social Research","Understanding government context","Principal Research Officer","Grade 7","Uses the GSR network effectively to actively pursue options for cross cutting research"
137,"Government Social Research","Using and Promoting Social Research","Understanding government context","Principal Research Officer","Grade 7","Identifies gaps in the social research evidence base that relates to key policy objectives and suggests methodologically robust ways to fill them"
138,"Government Social Research","Using and Promoting Social Research","Understanding government context","Principal Research Officer","Grade 7","Takes considered risks and assesses and manages the risks; is not deterred by incomplete or inconclusive data"
139,"Government Social Research","Using and Promoting Social Research","Understanding government context","Principal Research Officer","Grade 7","Takes the lead on a number of ‘technical’ matters within the wider GSR/ analytical community, for example, this could be methodological or evidence base"
140,"Government Social Research","Using and Promoting Social Research","Learning & development","Principal Research Officer","Grade 7","Is proactive in keeping abreast of new methodological and technical developments, how they might be used within department in different policy contexts"
141,"Government Social Research","Using and Promoting Social Research","Summary","Principal Research Officer","Grade 7","Able to communicate understanding of policy realities while clearly and accurately presenting social research evidence, ensuring appropriate social research input to policy decisions"
142,"Government Social Research","Using and Promoting Social Research","Summary","Principal Research Officer","Grade 7","Works in partnership with other analysts within and outside government, and across departments to achieve high quality, robust and relevant input"
143,"Government Social Research","Using and Promoting Social Research","Summary","Principal Research Officer","Grade 7","Is an advocate for social research, educates others about social research, and so shapes customer expectations and needs"
144,"Government Social Research","Using and Promoting Social Research","Summary","Principal Research Officer","Grade 7","Keeps abreast of new methodological developments, how they might be used within departments and in different policy contexts"
145,"Government Social Research","Using and Promoting Social Research","Summary","Principal Research Officer","Grade 7","Demonstrates positive management of analysts"
146,"Government Social Research","Technical Skills","Knowledge of research methods, techniques, & application of these","Senior Principal Research Officer","Grade 6","As Principal Research Officer plus strong track record in designing and managing a portfolio of high profile and complex projects and providing detailed research-based advice and briefings"
147,"Government Social Research","Technical Skills","Knowledge of research methods, techniques, & application of these","Senior Principal Research Officer","Grade 6","Provides an overview of research methods for a wide portfolio of projects, and provides a supervisory/ sounding board for team leaders where appropriate"
148,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Principal Research Officer","Grade 6","Effectively challenges and shapes research practices where appropriate"
149,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Principal Research Officer","Grade 6","Actively encourages the use of innovative research methods and analytical techniques among team members to deliver results to complex questions"
150,"Government Social Research","Technical Skills","Analysis & interpretation","Senior Principal Research Officer","Grade 6","Actively explores different perspectives when evaluating data; consults widely to inform this process"
151,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Principal Research Officer","Grade 6","Makes use of an established track record in research formulation at the overall programme level"
152,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Principal Research Officer","Grade 6","Develops social research ethics framework and ensures appropriate support for departments"
153,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Principal Research Officer","Grade 6","Manages quality and product assurance issues on projects, developing quality and product assurance requirements with customers and analysts prior to projects commencing, escalating issues to stakeholders and external experts as appropriate"
154,"Government Social Research","Technical Skills","Summary","Senior Principal Research Officer","Grade 6","Applies knowledge to high profile and complex projects, providing a supervisory / sounding board for team leaders where appropriate"
155,"Government Social Research","Technical Skills","Summary","Senior Principal Research Officer","Grade 6","Improves identification of research need and ability of research work to meet this through effective challenge and promotion of innovative methods and techniques"
156,"Government Social Research","Technical Skills","Summary","Senior Principal Research Officer","Grade 6","Actively explores different perspectives when evaluating data; consults widely to inform this process"
157,"Government Social Research","Technical Skills","Summary","Senior Principal Research Officer","Grade 6","Makes use of an established track record in research formulation at the overall programme level"
158,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Provides leadership to social researchers and possibly other analysts"
159,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Makes timely and objective decisions based on best available evidence and sound analysis"
160,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Makes accurate use of logic and draws sound inferences from available information and helps others to do the same work"
161,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Defines the need for high quality research, for example, to support policy formulation"
162,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Actively builds, shapes and contributes to the wider GSR network; establishes a network of contacts with others who value social research; actively explores and identifies where shared interests with others may lie"
163,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Facilitates discussions and advocates use of social research evidence at a strategic level to internal and external stakeholders"
164,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Seeks and makes appropriate use of opportunities to sell the value of social research"
165,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Prepared to defend and sell the value of social research, even in a high-profile situation, for example, make a successful case to superiors for more resources or support"
166,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Acts to raise the profile of SR outside the team and department"
167,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Principal Research Officer","Grade 6","Develops a research strategy; defends and defines the research programme, including budget increases"
168,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Principal Research Officer","Grade 6","Understands the different contributions of analytical disciplines and frames research to make use of this"
169,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Principal Research Officer","Grade 6","Takes account of different analytical functions in developing research plans; good cross functional awareness"
170,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Principal Research Officer","Grade 6","Engages with research contractors to ensure that working practices and relationships facilitate the delivery of high-quality work"
171,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Principal Research Officer","Grade 6","Works with other analysts and stakeholders to negotiate priorities within the overall work programme"
172,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Principal Research Officer","Grade 6","Regularly reviews programmes of work with research and policy colleagues to ensure that they are closely aligned with customers' strategic objectives"
173,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Principal Research Officer","Grade 6","Develops research strategy that is directly relevant to policy needs of department/division; links this with budget planning"
174,"Government Social Research","Using and Promoting Social Research","Learning & development","Senior Principal Research Officer","Grade 6","Provides challenge, encourages and supports staff to consider new and innovative methods in social research, including (but not limited to) methods related to evaluation, quality assurance, and data science"
175,"Government Social Research","Using and Promoting Social Research","Summary","Senior Principal Research Officer","Grade 6","Makes timely and objective decisions, based on best available evidence and sound analysis and helps others to draw sound inferences from information"
176,"Government Social Research","Using and Promoting Social Research","Summary","Senior Principal Research Officer","Grade 6","Encourages staff to consider new and innovative methods in social research and evaluation"
177,"Government Social Research","Using and Promoting Social Research","Summary","Senior Principal Research Officer","Grade 6","Advocates use of social research at the strategic level, developing research strategies, actively exploring and identifying shared interests"
178,"Government Social Research","Using and Promoting Social Research","Summary","Senior Principal Research Officer","Grade 6","Ensures programmes of work are closely aligned with customers’ strategic objectives"
179,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Keeps abreast of critical methodological developments within social research and other government analytical professions, identifies the value to the department, and across Whitehall, of new and innovative methods in social research, evaluation, quality assurance, and data science"
180,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Critically evaluates the methodological rigour and value of a wide range of research and gives advice that reflects this assessment"
181,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Provides active support and balanced advice to other social researchers and staff on a variety of technical, policy and research management issues, both on a one to one basis and through (inter)departmental groups and seminars"
182,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Defines and promotes consistent standards of research and analysis, for example, sets the scientific and ethical standards for social research and ensures these are consistent with Whitehall / industry standards"
183,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Decides whether a social research programme is fit for purpose"
184,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Provides technical support to social researchers when they come under pressure; helps them to assess and manage risk"
185,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Reviews the relevance of the existing evidence base across the programme area; anticipates future research needs and ensures evidence gaps are plugged"
186,"Government Social Research","Technical Skills","Knowledge development, evaluating approaches, upholding standards, providing support to researchers and the broader profession","Chief Research Officer","Grade 5","Ensures that appropriate quality and product assurance processes are culturally embedded within the department and are monitored, consulting with stakeholders and external experts when required, from the beginning of the project until its completion"
187,"Government Social Research","Technical Skills","Summary","Chief Research Officer","Grade 5","Ensures high standards for social research, keeping abreast of methodological developments and identifying value to department and across Whitehall"
188,"Government Social Research","Technical Skills","Summary","Chief Research Officer","Grade 5","Anticipates future needs based on understanding of evidence base"
189,"Government Social Research","Technical Skills","Summary","Chief Research Officer","Grade 5","Gives advice based on critical evaluation of wide range of research"
190,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Provides strategic leadership to multi-disciplinary teams"
191,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Helps customers and other analysts make important policy decisions through the provision of timely and sound social research advice/recommendations; ensures that the key themes and findings from complex social research programmes have been isolated and linked to important customer, policy and delivery concerns"
192,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Communicates accurately and in an engaging manner complex research findings to senior people and influential audiences in a variety of situations often with very little notice, for example, briefing a media audience with a short attention span; understands the impression that one creates in others and adjusts own style and content accordingly whilst being true to the research"
193,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Integrates information from a range of sources and analytical disciplines to give balanced politically aware advice that proactively informs policy and practice"
194,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Shares information and promotes discussion of evidence and its implications across the department and with stakeholders"
195,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Provides clear, succinct and accurate oral and written presentation of research/analysis results and links this content to policy/ political considerations and wider departmental strategy"
196,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Champions and fights for excellence in social research practices and application throughout the social research team, the department and wider Civil Service"
197,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Educates customers, shapes their expectations and influences the research requests they make; creates an ‘intelligent customer’; identifies and meets the strategic information needs of customers and partners, for example links the customer’s political and delivery priorities with social research findings; implements a strategy for building the customer base further"
198,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Is an authoritative voice on social research matters in both the civil service and outside institutions; is instrumental in raising the profile of social research within the department; pro-actively develops the ‘public role’ of government social research (e.g. serves on steering committees, furthers relationships with research councils; publishes in journals; encourages junior staff to do likewise)"
199,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Builds and maintains influential relationships with the ‘top of the office’, i.e., ministers, special advisers, senior members of own department; promotes and sells the value and unique contribution of social research to a diverse audience"
200,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Presents a compelling case for the value of social research to a wider audience; aligns policy and delivery with clear communications objectives and measurement criteria"
201,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Sets out vision/ future direction and sells unit's role and work to key stakeholders in the external analytical community"
202,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Promotes the value of social research to the department, the wider Civil Service and the outside world, e.g. ensuring a presence at conferences and in journals"
203,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Persuades customers and stakeholders to use social research in their key policy areas; ensures that the implications of important research becomes customer knowledge"
204,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Works with partners to identify customers and actively broaden the customer base; encourages other social researchers and analysts to do the same"
205,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Chief Research Officer","Grade 5","Negotiates in pressured situations, for example, challenges the budgetary constraints of social research at the departmental level"
206,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Makes use of different analytical disciplines and diverse talents to deliver results"
207,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Facilitates and links the ideas and contributions from a range of analytical disciplines to generate robust solutions"
208,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Collaborates with other senior analysts and policy colleagues to develop a coherent and integrated research vision that reflects the contribution of each discipline, creates synergy and demonstrates excellent cross functional awareness"
209,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Understands the implications of the latest research evidence for own policy areas; shares this information with key stakeholders and customers"
210,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Anticipates customers' priorities; systematically ensures the unit's research capability and evidence base is relevant to the short term and strategic priorities of key customers"
211,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Influences the customer's research priorities; internal dialogue and research agenda through asking them the right questions"
212,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Acutely aware of the potential political implications for customers of the research and develops contingency plans on how to manage this"
213,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Works in partnership with customers to develop policy/delivery action plans in light of research findings"
214,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Keeps abreast of key developments within the department as well as in the wider internal and external research community"
215,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Proposes and defends a position taking into account political and organisational sensitivities even in challenging situations, for example, stands up to ministers on matters of research publication"
216,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Sets out the policy and political consequences of research results so these wider implications are readily understood"
217,"Government Social Research","Using and Promoting Social Research","Understanding government context","Chief Research Officer","Grade 5","Quality assures the social research output conducted by the unit; proactively links output to the strategic needs of the department"
218,"Government Social Research","Using and Promoting Social Research","Learning & development","Chief Research Officer","Grade 5","Motivates staff by instilling professional integrity and high professional standards; encourages breadth and depth of research skills and knowledge and their application to effective delivery of policy"
219,"Government Social Research","Using and Promoting Social Research","Learning & development","Chief Research Officer","Grade 5","Actively promotes a work culture that encourages the use of innovative research methods and analytical techniques; challenges staff to consider new methods in social research and evaluation and how they can be applied to the policy delivery context"
220,"Government Social Research","Using and Promoting Social Research","Learning & development","Chief Research Officer","Grade 5","Sets and promotes a learning and improving culture in the unit for all staff; ensures access and opportunities are equal across the unit, for example, considers training across analytical disciplines"
221,"Government Social Research","Using and Promoting Social Research","Learning & development","Chief Research Officer","Grade 5","Exposes staff to the wider professional community of social researchers and other analytical disciplines to facilitate learning"
222,"Government Social Research","Using and Promoting Social Research","Learning & development","Chief Research Officer","Grade 5","Mediates effectively when there is a professional dispute, for example, on issues of methodology, or the use of social research evidence in a particular context; able to judge whether disputes are of critical importance and knows when to step in and when not to"
223,"Government Social Research","Using and Promoting Social Research","Summary","Chief Research Officer","Grade 5","Engagingly and accurately communicates relevant findings from complex research programmes to senior people and influential audiences, to give politically aware advice that informs policy and practice"
224,"Government Social Research","Using and Promoting Social Research","Summary","Chief Research Officer","Grade 5","Sets a learning culture for all staff, instilling professional integrity and high professional standards in line with the GSR code, encouraging breadth and depth in research skills including innovative methodologies and techniques and good understanding of other analytical disciplines"
225,"Government Social Research","Using and Promoting Social Research","Summary","Chief Research Officer","Grade 5","Demonstrates excellent cross functional awareness, making use of different analytical disciplines to deliver robust solutions, collaborating with senior analysts and policy colleagues to develop a coherent and integrated research vision that reflects the contribution of each analytical discipline and meets customer needs"
226,"Government Social Research","Using and Promoting Social Research","Summary","Chief Research Officer","Grade 5","Champions excellence in social research practices and application, creates intelligent customers and builds customer base, builds and maintains influential relationships with the ‘top of the office’ and key stakeholders outside government, presenting a compelling case for the value of social research."
227,"Government Social Research","Using and Promoting Social Research","Summary","Chief Research Officer","Grade 5","Uses understanding of evidence base, policy area and customers priorities to influence research priorities. Ensures policy and political implications of research are understood and managed, develops policy / delivery action plans in partnership with customers and ensures research capability and evidence base is relevant to short term and strategic priorities of key customers"
228,"Government Social Research","Using and Promoting Social Research","Summary","Chief Research Officer","Grade 5","Provides strategic leadership to further develop the social research profession and its role in the broader analytical community"
1,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS Students – AO equivalent","AO","Seeks opportunities to learn from colleagues"
2,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS Students – AO equivalent","AO","Takes seriously own professional development"
3,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS Students – AO equivalent","AO","Operates with professionalism and integrity in all aspects of analytical work including conduct, adherence to Codes of practice and working in best interests of the Department. Maintains best practice and works to Departmental standards."
4,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS Students – AO equivalent","AO","Demonstrates importance of quality assurance checks through building them into own work, securing assistance from peers and more senior colleagues. Raises and escalates risks where identified."
5,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 1 – EO equivalent","EO","Participates in wider Department OR and GORS activities and builds professional networks."
6,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 1 – EO equivalent","EO","Takes seriously own professional development and undertakes 100 hours of continuous professional development per year."
7,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 1 – EO equivalent","EO","Provides quality and product assurance for others, escalate risks if quality and product assurance is compromised."
8,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 2 – HEO equivalent","HEO","Provides induction to junior staff on the role of OR within the Department and business area."
9,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 2 – HEO equivalent","HEO","Provides guidance to junior staff on how to get the most out of their training and professional development"
10,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 2 – HEO equivalent","HEO","Contributes to wider GORS activities and builds analytical professional networks."
11,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 2 – HEO equivalent","HEO","Displays professionalism and uses best practice in the performing and communication of analytical work"
12,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 2 – HEO equivalent","HEO","Make suggestions on areas where OR could make a contribution to own team’s work"
13,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 2 – HEO equivalent","HEO","Carries out robust quality assurance on analytical work and ensures that products are fit for purpose and are used to best effect."
14,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 3 - SEO equivalent","SEO","Supports the direction for OR professionals across the business area and supports the Departmental OR community."
15,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 3 - SEO equivalent","SEO","Contributes to wider GORS activities and extends professional networks across the analytical professions and broader department"
16,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 3 - SEO equivalent","SEO","Promotes professionalism and exemplifies best practice in the performing and communication of analytical work. Ensures that projects are managed well, and fully documented."
17,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 3 - SEO equivalent","SEO","Allocates time for and makes sure that appropriate quality assurance is carried out and engages with customers so that they understand the level off assurance provided, and limitations and caveats of the analysis."
18,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"GORS level 3 - SEO equivalent","SEO","Suggests and makes effective use of opportunities to promote the OR profession within the business area, seeking out areas where OR can make a contribution."
19,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 6 and 7","Grade 7, Grade 6","Supports GORS recruitment, induction of high quality OR professionals in the GORS community. Supports progressive professional development, including time to explore the newest techniques and technologies."
20,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 6 and 7","Grade 7, Grade 6","Sets direction for OR professionals across the business area, supports the Dept. OR community and proactively contributes to wider GORS business goals."
21,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 6 and 7","Grade 7, Grade 6","Instils professionalism and integrity in all aspects of analytical work, delivers GORS best practice ensuring that work is appropriately quality assured."
22,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 6 and 7","Grade 7, Grade 6","Promotes OR group's reputation for professionalism, good service, and most advanced analysis; suggests areas where OR can make a contribution."
23,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 6 and 7","Grade 7, Grade 6","Appropriately selects and oversees the work of external OR staff (consultants, academics)."
24,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 6 and 7","Grade 7, Grade 6","Develops and agrees quality and product assurance requirements with customers and analysts at the start of analytical projects, building in sufficient time for delivery."
25,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 6 and 7","Grade 7, Grade 6","Manages quality and product assurance issues, escalating to stakeholders and external experts as appropriate."
26,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 5","Grade 5","Ensures GORS approved, government wide standards for professional OR staff (recruitment, professional development and promotion) are maintained and applied with the Department."
27,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 5","Grade 5","Ensure active contribution to the Government Operational Research Service (GORS) and Departmental commitment on continuing professional development for OR analysts."
28,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 5","Grade 5","Leads on the OR capability within the Department through setting the overall direction, identifying future needs, and embracing future advancements seen in OR outside government and in other Government Departments. Works to facilitate, promote, and mainstream GORS professional activities, ensuring OR is recognised within the Department as most current standard of analysis."
29,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 5","Grade 5","Pushes for the latest appropriate technologies, to enable useful new analytical techniques."
30,"Government Operational Research Service","Sustaining and developing OR professionals and professionalism",NA,"Grade 5","Grade 5","Ensures that appropriate quality and product assurance processes are in place and are monitored, consulting with stakeholders and external experts when required."
31,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS student – AO equivalent","AO","Develops knowledge and understanding of strengths and limitations of OR techniques applied in team’s area. Develops experience in the practical application of techniques to own work area."
32,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS student – AO equivalent","AO","Can explain why the approach taken in own work area is appropriate."
33,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS student – AO equivalent","AO","Recognises the importance of data quality, identifying and raising issues relevant to work."
34,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 1 – EO equivalent","EO","Develops a growing knowledge and understanding of a range of hard and soft OR techniques and problem solving approaches. Develops experience in the practical application of a range of techniques."
35,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 1 – EO equivalent","EO","Suggests possible approaches to a given problem."
36,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 1 – EO equivalent","EO","Understands data limitations."
37,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 2 – HEO equivalent","HEO","Helps break down complex problems into a clear structure and formulates specific questions that can be tackled through analysis of available data and modelling."
38,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 2 – HEO equivalent","HEO","Has good knowledge and depth of understanding of a number of OR techniques and a growing awareness of a range of hard and soft analytical techniques."
39,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 2 – HEO equivalent","HEO","Helps to translate customer requests into practical and effective approaches to the solution of customers' problems and has good knowledge about the strengths and limitations of the data and techniques available."
40,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 2 – HEO equivalent","HEO","Develops the understanding of different data structures, and how to make them usable."
41,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 2 – HEO equivalent","HEO","Stays abreast of developments in Government OR and exploits these as appropriate to break new ground in own work area."
42,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 3 – SEO equivalent","SEO","Leads in breaking down complex problems into a clear structure and formulates specific questions that can be tackled through analysis of available data and modelling."
43,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 3 – SEO equivalent","SEO","Has extensive knowledge and depth of understanding of a number of OR techniques and demonstrates a breadth of knowledge, across a range of hard and soft analytical techniques."
44,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 3 – SEO equivalent","SEO","Takes critical and informed views of possible approaches given customer needs and is fully knowledgeable about the strengths and limitations of the data and techniques available."
45,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 3 – SEO equivalent","SEO","Develops the understanding of different data structures, and how to make them usable."
46,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"GORS level 3 – SEO equivalent","SEO","Stays abreast of developments in Government OR and exploits these as appropriate to break new ground in own work area."
47,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 6 and 7","Grade 7, Grade 6","Maintains, develops and uses professional networks within the Civil Service and externally in order to maintain knowledge of activity and enable innovations in analysis."
48,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 6 and 7","Grade 7, Grade 6","Adequate, innovative and appropriate application of OR to the formulation, implementation and evaluation of projects.  Ensures that evaluation of projects takes place and work is quality assured."
49,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 6 and 7","Grade 7, Grade 6","Awareness of quality assurance techniques and ensure the appropriate application of techniques to deliver robust analytical models and results."
50,"Government Operational Research Service","Knowledge and application of OR skills and techniques",NA,"Grade 6 and 7","Grade 7, Grade 6","Explores new uses of departmental administrative data, and relevant open data, as enabled by new technologies and techniques."
